,family,steel,carbon,hardness,temper_rolling,condition,formability,strength,non-ageing,surface-quality,bf,bt,bw/me,bl,cbond,ferro,blue/bright/varn/clean,shape,thick,width,len,bore,recozimento
0,?,A,8,0,?,S,?,0,?,G,?,?,?,?,?,?,?,COIL,0.7,610.0,0.0,0,ruim
1,?,R,0,0,?,S,2.0,0,?,E,Y,?,B,?,?,?,?,SHEET,0.7,1300.0,762.0,0,ruim
2,?,A,0,60,T,?,?,0,?,G,?,?,M,?,?,?,?,COIL,2.801,385.1,0.0,0,ideal
3,?,A,0,60,T,?,?,0,?,G,?,?,B,Y,Y,?,?,SHEET,0.801,255.0,269.0,0,ideal
4,?,A,0,45,?,S,?,0,?,D,?,?,?,?,?,?,?,COIL,1.6,610.0,0.0,0,mediano
5,?,R,0,0,?,S,2.0,0,?,E,?,?,?,Y,?,?,?,SHEET,0.699,610.0,4880.0,0,ruim
6,?,A,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,COIL,3.3,152.0,0.0,0,ruim
7,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,COIL,0.699,1320.0,0.0,0,mediano
8,?,A,0,0,?,S,3.0,0,N,E,?,?,?,?,?,?,?,SHEET,1.0,1320.0,762.0,0,ruim
9,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,COIL,1.2,610.0,0.0,0,ruim
10,?,R,0,0,?,S,2.0,0,?,E,?,?,?,Y,?,?,?,SHEET,0.3,1320.0,4880.0,0,ruim
11,?,R,0,0,?,S,2.0,0,?,E,?,?,B,Y,Y,?,?,SHEET,1.2,610.0,150.0,0,ruim
12,?,A,0,45,?,S,?,0,?,D,?,?,?,?,?,?,?,COIL,1.2,609.9,0.0,0,ruim
13,?,A,0,0,?,S,2.0,0,?,F,Y,?,?,?,?,?,?,SHEET,0.6,1220.0,761.0,0,mediano
14,?,A,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,SHEET,4.0,1320.0,762.0,0,ruim
15,?,A,0,80,T,?,?,0,?,G,?,?,?,?,?,?,?,SHEET,0.8,610.0,4170.0,0,ideal
16,?,A,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,SHEET,3.2,1320.1,762.0,0,ruim
17,?,A,0,70,T,?,?,0,?,G,?,?,?,?,?,?,?,COIL,0.501,1200.1,0.0,0,ideal
18,?,A,0,0,?,S,2.0,0,?,F,Y,?,?,Y,?,?,?,SHEET,0.6,610.0,761.0,0,ruim
19,?,K,55,0,?,?,?,0,?,?,?,?,?,?,?,?,?,COIL,0.8,610.0,0.0,0,mediano
20,?,S,70,0,?,?,?,0,?,?,?,?,?,?,?,?,?,COIL,3.2,609.9,0.0,0,mediano
21,?,A,3,0,T,?,?,0,?,?,Y,?,?,?,?,?,?,COIL,0.5,610.0,0.0,0,ideal
22,?,?,0,50,T,?,?,0,?,G,?,Y,?,?,?,?,?,COIL,3.2,1320.0,0.0,0,ideal
23,?,A,0,60,T,?,?,0,?,G,?,?,B,Y,Y,?,?,SHEET,0.8,356.0,4880.0,0,ideal
24,?,K,55,0,?,?,?,0,?,?,?,?,?,?,?,?,?,COIL,0.8,900.0,0.0,0,mediano
25,?,W,0,0,?,?,?,310,?,G,?,?,?,?,?,?,?,COIL,1.6,610.0,0.0,500,mediano
26,TN,A,0,0,?,?,3.0,0,N,?,?,?,B,?,?,Y,?,SHEET,0.6,610.0,4880.0,0,mediano
27,?,?,0,45,?,S,?,0,?,E,?,?,?,?,Y,?,?,SHEET,1.4,1320.0,4170.0,0,mediano
28,?,A,0,45,?,S,?,0,?,D,?,?,B,?,?,?,?,SHEET,0.699,1320.0,762.0,0,ruim
29,?,A,0,85,T,?,?,0,?,G,?,?,?,?,?,?,?,COIL,4.0,450.0,0.0,0,ideal
30,?,A,0,0,?,S,3.0,0,N,F,?,?,?,?,?,?,?,SHEET,0.75,1320.0,4880.0,0,mediano
31,TN,A,0,0,?,?,3.0,0,N,?,?,?,B,?,?,?,?,COIL,1.6,1220.0,0.0,0,ideal
32,?,M,0,0,?,?,?,350,?,G,?,Y,?,?,?,?,?,COIL,1.399,1320.0,0.0,0,ideal
33,?,A,0,50,T,?,?,0,?,G,?,Y,?,?,?,?,?,COIL,0.6,1320.0,0.0,0,ideal
34,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,COIL,0.651,20.0,0.0,0,ruim
35,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,SHEET,1.6,374.9,4880.0,0,ruim
36,ZS,A,0,0,?,S,3.0,0,N,E,?,?,?,?,?,?,?,COIL,1.6,50.0,0.0,0,ruim
37,?,R,0,0,?,S,2.0,0,?,E,Y,?,?,Y,?,?,?,SHEET,0.699,1320.0,4880.0,0,ruim
38,ZS,A,0,50,T,?,?,0,?,E,?,?,?,?,?,?,?,COIL,0.7,610.0,0.0,0,ideal
39,TN,A,0,0,?,?,3.0,0,N,?,?,?,?,?,?,Y,?,COIL,0.799,20.0,0.0,0,ideal
40,?,A,0,0,?,S,2.0,0,?,F,Y,?,?,?,?,?,?,SHEET,0.6,610.0,301.0,0,ruim
41,?,R,0,0,?,S,3.0,0,?,E,?,?,?,?,?,?,?,SHEET,0.601,610.0,4880.0,0,ruim
42,?,A,0,45,?,S,?,0,?,D,?,?,?,Y,?,?,?,SHEET,0.7,1320.0,4880.0,0,ruim
43,?,W,0,0,?,?,?,310,?,G,?,?,B,?,?,?,?,COIL,2.5,1274.9,0.0,500,mediano
44,?,A,0,0,?,S,2.0,0,?,G,?,?,?,?,?,?,?,SHEET,0.699,1320.0,4880.0,0,ruim
45,?,A,0,0,?,S,2.0,0,?,E,?,?,B,Y,?,?,?,SHEET,0.7,609.9,762.0,0,ruim
46,?,?,0,0,?,S,1.0,0,?,G,?,?,?,?,?,?,?,SHEET,0.3,1320.0,761.0,0,ruim
47,?,A,0,45,?,S,?,0,?,D,?,?,?,?,?,?,?,SHEET,0.599,150.0,4880.0,0,ruim
48,?,A,0,0,?,S,2.0,0,?,E,?,Y,?,?,?,?,?,COIL,0.7,1320.0,0.0,0,ruim
49,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,SHEET,0.7,374.9,4880.0,0,mediano
50,?,?,0,0,?,A,2.0,0,?,G,?,?,?,?,?,?,?,SHEET,0.301,610.0,762.0,0,ruim
51,?,A,0,0,?,?,?,500,?,G,?,?,?,?,?,?,?,COIL,1.6,1320.0,0.0,0,ideal
52,?,A,0,0,?,S,2.0,0,?,G,?,Y,?,?,?,?,?,SHEET,3.2,1300.0,762.0,0,ruim
53,ZS,A,0,0,?,S,5.0,0,N,E,?,?,?,?,?,?,?,SHEET,1.2,610.0,762.0,0,ruim
54,ZS,A,0,0,?,S,5.0,0,N,E,?,?,?,?,?,?,?,SHEET,1.2,610.0,4880.0,0,mediano
55,?,A,0,0,?,S,3.0,0,N,F,?,?,B,Y,Y,?,?,SHEET,0.6,1220.0,762.0,0,ruim
56,?,A,0,45,?,S,?,0,?,D,?,?,?,?,?,?,?,COIL,0.301,610.0,0.0,0,ruim
57,ZS,A,0,85,T,?,?,0,?,E,?,Y,?,?,?,?,?,SHEET,1.0,610.0,762.0,0,ideal
58,?,?,0,0,?,S,1.0,0,?,G,?,?,B,Y,?,?,?,SHEET,0.301,515.0,610.0,0,mediano
59,TN,A,0,0,?,?,3.0,0,N,?,?,?,?,?,?,?,?,SHEET,1.2,335.0,611.0,0,ideal
60,?,R,0,0,?,S,3.0,0,?,?,?,?,?,?,?,?,?,SHEET,0.8,1320.0,762.0,0,ruim
61,TN,A,0,0,?,?,3.0,0,N,?,?,?,?,?,?,?,?,COIL,0.6,250.0,0.0,0,ideal
62,?,A,0,70,T,?,?,0,?,G,?,?,?,?,?,?,?,COIL,0.801,610.0,0.0,600,mediano
63,?,R,0,0,?,S,2.0,0,?,E,?,Y,M,?,?,?,?,COIL,3.5,610.0,0.0,600,mediano
64,?,?,0,0,?,S,1.0,0,?,G,?,?,?,?,?,?,?,SHEET,0.699,610.0,762.0,0,ruim
65,?,R,0,0,?,S,2.0,0,?,E,?,?,B,?,?,?,?,COIL,0.799,1300.0,0.0,0,ruim
66,?,A,4,0,T,?,?,0,?,G,?,?,?,?,?,?,?,COIL,0.5,1130.0,0.0,0,ideal
67,?,?,0,0,?,?,?,500,?,?,?,?,?,?,?,?,?,SHEET,1.6,609.9,4880.0,0,ideal
68,?,A,0,0,?,S,3.0,0,N,G,?,?,?,?,?,?,?,COIL,0.601,1320.0,0.0,0,mediano
69,ZS,A,0,70,T,?,?,0,?,E,?,?,?,?,?,?,?,COIL,2.0,1250.0,0.0,0,ideal
70,?,R,0,0,?,S,2.0,0,?,E,Y,?,?,?,?,?,?,SHEET,3.2,1320.0,4880.0,0,ruim
71,?,A,0,45,?,S,?,0,?,E,?,?,?,?,Y,?,?,COIL,0.7,610.0,0.0,0,ruim
72,?,A,0,0,?,S,2.0,0,?,F,Y,?,?,?,?,?,?,SHEET,0.6,610.0,762.0,0,ruim
73,?,V,0,0,?,S,2.0,0,?,?,?,?,?,?,?,?,?,SHEET,1.599,610.0,1.0,0,ruim
74,?,A,0,50,T,?,?,0,?,G,?,?,?,?,?,?,?,COIL,0.8,609.9,0.0,0,ideal
75,ZS,R,0,0,?,S,3.0,0,?,E,?,?,?,?,?,?,?,SHEET,1.6,610.0,4880.0,0,ruim
76,?,K,45,0,?,?,?,0,?,?,?,Y,M,?,?,?,?,COIL,3.2,640.0,0.0,600,mediano
77,?,R,0,0,?,S,3.0,0,?,?,?,?,B,?,?,?,?,SHEET,0.8,1320.0,4880.0,0,ruim
78,?,A,0,0,?,S,2.0,0,?,E,?,?,?,?,Y,?,?,COIL,1.6,610.0,0.0,0,ruim
79,?,M,0,0,?,?,?,600,?,G,?,Y,?,?,?,?,?,COIL,1.6,1090.0,0.0,0,ideal
80,TN,?,0,0,?,A,1.0,0,?,?,?,?,?,?,?,?,?,COIL,0.5,610.0,0.0,0,ruim
81,?,A,10,0,?,?,?,0,?,E,?,?,?,?,?,?,?,COIL,1.201,1320.0,0.0,0,ruim
82,?,?,0,0,?,S,1.0,0,?,G,?,?,?,?,?,?,?,SHEET,0.3,610.0,762.0,0,ruim
83,?,A,0,0,?,S,2.0,0,?,E,?,?,?,Y,?,?,?,SHEET,0.7,610.0,4880.0,0,ruim
84,?,K,55,0,?,?,?,0,?,?,?,Y,M,?,?,?,?,COIL,1.5,640.0,0.0,0,mediano
85,?,A,0,45,?,S,?,0,?,D,?,?,?,?,?,?,?,SHEET,0.599,609.9,4880.0,0,ruim
86,?,R,0,0,?,S,3.0,0,?,?,?,?,B,Y,?,?,?,SHEET,0.8,610.0,762.0,0,ruim
87,TN,A,0,0,?,?,3.0,0,N,?,?,?,?,?,?,Y,?,SHEET,1.6,610.0,761.0,0,mediano
88,TN,A,0,0,?,?,3.0,0,N,?,?,?,B,?,?,?,?,COIL,0.6,610.0,0.0,0,ideal
89,?,R,0,0,?,S,2.0,0,?,?,?,?,?,Y,?,?,?,SHEET,1.599,610.0,4880.0,0,ruim
90,?,R,0,0,?,S,2.0,0,?,?,?,?,B,Y,?,?,?,SHEET,2.0,610.0,612.0,0,ruim
91,?,R,0,0,?,?,?,500,?,?,?,?,?,?,?,?,?,SHEET,1.0,610.0,4880.0,0,mediano
92,?,A,0,0,?,S,2.0,0,?,F,?,?,?,?,?,?,?,SHEET,0.999,610.0,762.0,0,ruim
93,?,A,0,0,?,S,2.0,0,?,F,Y,?,B,Y,?,?,?,SHEET,0.699,610.0,761.0,0,mediano
94,?,A,0,45,?,S,?,0,?,D,?,?,?,Y,?,?,?,SHEET,0.7,610.0,762.0,0,ruim
95,?,A,0,45,?,S,?,0,?,D,?,?,B,?,?,?,?,COIL,1.6,610.0,0.0,0,ruim
96,TN,A,0,0,?,?,3.0,0,N,?,?,?,?,?,?,?,?,SHEET,0.5,1220.0,4880.0,0,ruim
97,?,R,0,0,?,S,2.0,0,?,E,Y,?,B,?,?,?,?,SHEET,0.7,1300.0,4880.0,0,ruim
98,?,A,0,0,?,S,2.0,0,?,E,?,?,B,?,?,?,?,SHEET,0.7,609.9,762.0,0,ruim
99,?,?,0,0,T,S,2.0,0,?,?,?,?,?,?,?,?,?,COIL,0.7,1320.0,0.0,0,ruim
100,?,A,0,70,T,?,?,0,?,G,?,?,B,?,?,?,?,COIL,0.8,50.0,0.0,0,ideal
101,TN,A,0,0,?,?,3.0,0,N,?,?,?,?,?,?,?,?,SHEET,0.6,1220.0,761.0,0,ideal
102,?,R,0,0,?,S,2.0,0,?,E,Y,?,?,?,?,?,?,SHEET,0.699,610.0,4880.0,0,ruim
103,?,R,0,0,?,?,?,500,?,?,?,?,?,?,?,?,?,SHEET,1.0,1100.0,762.0,0,ideal
104,?,M,0,0,?,?,?,600,?,G,?,?,?,?,?,?,?,COIL,1.6,1090.0,0.0,0,ideal
105,?,A,0,85,T,?,?,0,?,G,?,?,?,?,?,?,?,COIL,3.2,610.0,0.0,0,ideal
106,?,A,0,45,?,S,?,0,?,D,?,?,?,?,?,?,?,SHEET,0.599,520.0,4880.0,0,ruim
107,ZS,R,0,0,?,A,2.0,0,?,G,?,?,?,?,?,?,?,COIL,0.25,20.0,0.0,0,ruim
108,?,S,0,0,?,?,?,400,?,?,?,?,?,?,?,?,V,COIL,0.8,75.0,0.0,0,ideal
109,?,A,0,0,?,S,2.0,0,?,G,?,Y,?,?,?,?,?,SHEET,0.7,1300.0,4880.0,0,ruim
110,?,A,0,45,?,S,?,0,?,D,?,?,B,?,?,?,?,COIL,0.699,1320.0,0.0,0,ruim
111,?,A,4,0,T,?,?,0,?,G,?,?,?,?,?,?,?,COIL,1.0,1130.0,0.0,0,ideal
112,?,?,0,50,T,?,?,0,?,G,?,?,?,?,?,?,?,COIL,0.451,1320.0,0.0,0,ideal
113,TN,A,0,0,?,?,3.0,0,N,?,?,?,?,?,?,Y,?,COIL,1.6,1220.0,0.0,0,ideal
114,?,W,0,0,?,?,?,310,?,G,?,?,?,?,?,?,?,COIL,1.599,1275.0,0.0,0,ideal
115,TN,A,0,0,?,?,3.0,0,N,?,?,?,?,?,?,?,?,SHEET,1.6,610.0,4880.0,0,ideal
116,?,R,0,0,?,S,3.0,0,?,?,?,?,?,?,?,?,?,COIL,1.599,610.0,0.0,0,ruim
117,?,R,0,0,?,S,2.0,0,?,?,?,?,B,Y,?,?,?,SHEET,2.0,610.0,4170.0,0,ruim
118,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,COIL,1.2,1220.0,0.0,0,ruim
119,?,R,0,0,?,S,2.0,0,?,?,?,?,B,Y,?,?,?,SHEET,1.599,1300.0,762.0,0,ruim
120,?,V,0,0,?,S,2.0,0,?,?,?,?,?,?,?,?,?,COIL,1.201,1525.0,0.0,0,ruim
121,?,K,55,0,?,?,?,0,?,?,?,Y,?,?,?,?,?,COIL,1.1,900.0,0.0,0,mediano
122,?,R,0,0,?,S,3.0,0,?,?,?,?,?,?,?,?,?,SHEET,2.0,1525.0,612.0,0,ruim
123,?,A,0,0,?,S,2.0,0,?,E,?,?,M,?,?,?,?,COIL,3.5,610.0,0.0,600,mediano
124,?,A,0,50,T,?,?,0,?,G,?,Y,?,?,?,?,?,COIL,0.6,610.0,0.0,0,ideal
125,?,W,0,0,?,?,?,310,?,G,Y,?,?,?,?,?,?,SHEET,2.5,610.0,4880.0,0,ideal
126,?,A,0,60,T,?,?,0,?,G,?,?,?,?,?,?,?,COIL,0.6,50.0,0.0,0,ideal
127,?,A,0,45,?,S,?,0,?,D,?,?,?,?,?,?,?,SHEET,0.699,1320.0,760.0,0,mediano
128,?,R,0,0,?,A,3.0,0,?,G,?,?,?,?,Y,?,?,COIL,0.4,58.0,0.0,0,mediano
129,?,R,0,0,?,S,2.0,0,?,E,?,?,B,?,?,?,?,COIL,3.2,609.9,0.0,0,ruim
130,?,?,0,0,?,A,2.0,0,?,G,?,?,?,?,?,?,?,COIL,0.7,1320.0,0.0,0,mediano
131,ZS,A,0,50,T,?,?,0,?,E,Y,?,?,?,?,?,?,COIL,1.6,1250.0,0.0,0,mediano
132,?,R,0,0,?,S,3.0,0,?,?,?,?,?,?,?,?,?,SHEET,1.601,830.0,881.0,0,ruim
133,?,M,0,0,?,?,?,350,?,G,?,Y,?,?,?,?,?,COIL,0.9,1320.0,0.0,0,ideal
134,?,V,0,0,?,S,2.0,0,?,?,?,?,?,?,?,?,?,COIL,2.0,1525.0,0.0,0,ruim
135,?,A,0,0,?,S,2.0,0,?,F,Y,?,B,?,?,?,?,SHEET,0.699,520.0,762.0,0,ruim
136,?,A,0,60,T,?,?,0,?,G,?,?,?,?,Y,?,?,COIL,0.8,710.1,0.0,0,mediano
137,ZS,A,0,50,T,?,?,0,?,E,?,?,?,?,?,?,?,COIL,0.6,610.0,0.0,0,ideal
138,?,R,0,0,?,?,?,500,?,?,?,Y,?,?,?,?,?,COIL,1.6,1320.0,0.0,0,ideal
139,?,A,0,0,?,S,2.0,0,?,E,?,?,B,Y,?,?,?,SHEET,1.6,1320.0,1000.0,0,ruim
140,?,A,0,0,?,S,2.0,0,?,G,?,?,B,Y,?,?,?,SHEET,0.7,610.0,4880.0,0,ruim
141,?,A,0,45,?,S,?,0,?,D,?,?,?,?,?,?,?,COIL,0.699,1320.0,0.0,0,ruim
142,?,A,0,85,T,?,?,0,?,G,?,?,M,?,?,?,?,COIL,3.201,1000.0,0.0,600,mediano
143,TN,A,0,0,?,?,3.0,0,N,?,?,?,B,?,?,Y,?,SHEET,0.6,1220.0,4880.0,0,mediano
144,ZS,A,0,0,?,S,3.0,0,N,E,?,?,?,?,?,?,?,COIL,1.0,75.0,0.0,0,ruim
145,TN,?,0,0,?,A,1.0,0,?,?,?,?,?,?,?,?,?,COIL,1.6,1220.0,0.0,0,ruim
146,?,A,0,0,?,S,2.0,0,?,E,?,?,B,?,?,?,?,COIL,3.2,609.9,0.0,0,ruim
147,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,COIL,0.7,1320.0,0.0,0,ruim
148,?,A,0,70,T,?,?,0,?,G,?,?,B,?,?,?,?,COIL,2.5,609.9,0.0,0,ideal
149,?,A,0,0,?,S,2.0,0,?,F,Y,?,B,Y,?,?,?,SHEET,0.699,609.9,0.0,0,ruim
150,?,R,0,0,?,S,2.0,0,?,E,?,?,B,Y,?,?,?,SHEET,3.2,610.0,1000.0,0,ruim
151,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,COIL,0.9,966.1,0.0,0,ruim
152,?,A,0,0,?,S,3.0,0,N,E,?,Y,?,?,?,?,?,COIL,1.001,610.0,0.0,0,ruim
153,?,R,0,0,?,S,3.0,0,?,E,?,?,?,?,?,?,?,SHEET,0.601,375.0,612.0,0,ruim
154,TN,A,0,0,?,?,3.0,0,N,?,?,?,?,?,?,?,?,COIL,0.8,50.0,0.0,0,ideal
155,?,K,45,0,?,?,?,0,?,?,?,?,?,?,?,?,?,COIL,0.6,610.0,0.0,0,mediano
156,TN,A,0,0,?,?,3.0,0,N,?,?,?,?,?,?,?,?,SHEET,0.6,610.0,4880.0,0,ruim
157,?,R,0,0,?,S,2.0,0,?,?,?,?,?,?,?,?,?,COIL,1.6,50.0,0.0,0,ruim
158,?,A,0,0,?,S,2.0,0,?,G,?,?,?,?,?,?,?,SHEET,1.2,335.0,4170.0,0,mediano
159,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,COIL,0.7,610.0,0.0,0,ruim
160,?,V,0,0,?,S,2.0,0,?,?,?,?,?,?,?,?,?,SHEET,0.8,1320.0,1.0,0,ruim
161,?,A,0,85,T,?,?,0,?,G,?,?,?,?,?,?,?,COIL,3.2,609.9,0.0,0,ideal
162,TN,A,0,0,?,?,3.0,0,N,?,?,?,?,?,?,Y,?,COIL,1.6,50.0,0.0,0,mediano
163,?,A,0,0,?,S,2.0,0,?,E,Y,?,?,?,?,?,?,SHEET,0.699,610.0,4880.0,0,ruim
164,?,A,0,0,?,S,2.0,0,?,E,Y,?,B,Y,?,?,?,SHEET,1.599,1300.0,4880.0,0,ruim
165,?,A,0,0,?,S,2.0,0,?,E,Y,?,?,?,?,?,?,SHEET,0.7,610.0,4880.0,0,ruim
166,?,A,0,0,?,S,3.0,0,N,E,?,?,?,?,?,?,?,COIL,0.6,1320.0,0.0,0,ruim
167,?,?,0,0,?,A,2.0,0,?,G,?,?,?,?,?,?,?,SHEET,0.301,610.0,4880.0,0,ruim
168,?,A,0,0,?,S,2.0,0,?,F,Y,?,B,Y,?,?,?,SHEET,0.6,1220.0,762.0,0,ruim
169,ZS,R,0,0,?,?,?,300,?,?,?,?,?,?,?,?,?,COIL,0.8,915.1,0.0,0,ideal
170,?,A,0,85,T,?,?,0,?,G,?,?,M,?,?,?,?,COIL,4.0,1000.0,0.0,600,mediano
171,TN,A,0,0,?,?,3.0,0,N,?,?,?,?,?,?,?,?,SHEET,1.2,335.0,612.0,0,ideal
172,?,A,0,0,?,S,2.0,0,?,F,Y,?,?,Y,?,?,?,SHEET,0.6,520.0,4880.0,0,ruim
173,?,A,0,0,?,S,2.0,0,?,E,Y,?,?,?,?,?,?,COIL,1.6,1320.0,0.0,0,mediano
174,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,COIL,3.2,1320.0,0.0,0,ruim
175,?,A,0,0,?,S,2.0,0,?,E,Y,?,?,?,?,?,?,SHEET,0.3,610.0,4880.0,0,mediano
176,?,A,0,0,?,S,2.0,0,?,F,Y,?,B,?,?,?,?,SHEET,0.6,610.0,4880.0,0,ruim
177,?,A,0,0,?,S,2.0,0,?,F,Y,?,?,Y,?,?,?,SHEET,0.699,520.0,4880.0,0,ruim
178,?,A,0,45,?,S,?,0,?,D,?,?,B,Y,?,?,?,SHEET,0.3,610.0,762.0,0,ruim
179,?,R,0,0,?,S,2.0,0,?,E,Y,?,?,?,?,?,?,COIL,0.699,610.0,0.0,0,mediano
180,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,SHEET,3.2,610.0,762.0,0,ruim
181,ZS,A,0,50,T,?,?,0,?,E,?,?,?,?,?,?,?,COIL,0.6,1250.0,0.0,0,mediano
182,?,A,0,0,?,S,2.0,0,?,E,Y,?,?,?,?,?,?,COIL,1.6,1320.0,0.0,0,ruim
183,?,A,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,SHEET,0.3,1320.0,762.0,0,mediano
184,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,SHEET,0.699,610.0,762.0,0,ruim
185,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,COIL,0.901,966.1,0.0,0,ruim
186,?,R,0,0,?,S,2.0,0,?,E,?,?,B,Y,?,?,?,SHEET,0.3,595.0,4880.0,0,ruim
187,?,A,0,0,?,S,2.0,0,?,F,Y,?,B,Y,?,?,?,SHEET,0.6,1220.0,4880.0,0,ruim
188,?,A,0,0,?,S,2.0,0,?,F,Y,?,?,Y,?,?,?,SHEET,0.699,609.9,4880.0,0,ruim
189,?,S,70,0,?,?,?,0,?,?,?,?,M,?,?,?,?,SHEET,2.0,1000.0,4880.0,0,mediano
190,?,A,0,0,?,S,3.0,0,N,E,?,?,?,?,?,?,?,SHEET,1.0,610.0,4880.0,0,ruim
191,?,?,0,0,?,S,1.0,0,?,G,?,?,?,?,?,?,?,COIL,3.2,60.0,0.0,0,ruim
192,?,K,55,0,?,?,?,0,?,?,?,?,?,?,?,?,?,COIL,1.0,900.0,0.0,0,mediano
193,?,A,0,45,?,S,?,0,?,D,?,?,?,?,?,?,?,COIL,0.7,1320.0,0.0,0,mediano
194,?,R,0,0,?,S,2.0,0,?,E,Y,?,?,?,?,?,?,COIL,1.6,1320.0,0.0,0,mediano
195,?,A,0,45,?,S,?,0,?,D,?,?,?,?,?,?,?,SHEET,1.6,610.0,762.0,0,ruim
196,?,R,0,0,?,S,2.0,0,?,?,?,Y,?,?,?,?,?,SHEET,0.8,1300.0,762.0,0,ruim
197,?,?,0,0,?,A,2.0,0,?,G,?,?,?,?,?,?,?,SHEET,0.301,1320.0,4880.0,0,ruim
198,?,A,0,50,T,?,?,0,?,G,?,Y,?,?,?,?,?,COIL,0.601,610.0,0.0,0,ideal
199,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,SHEET,3.2,1320.0,762.0,0,ruim
200,?,M,0,0,?,?,?,600,?,G,?,Y,?,?,?,?,?,COIL,1.3,1090.0,0.0,0,ideal
