,family,steel,carbon,hardness,temper_rolling,condition,formability,strength,non-ageing,surface-quality,bf,bt,bw/me,bl,cbond,ferro,blue/bright/varn/clean,shape,thick,width,len,bore,recozimento
201,?,A,0,0,?,S,2.0,0,?,F,?,?,?,?,?,?,?,SHEET,0.699,520.0,4880.0,0,ruim
202,?,M,0,0,?,?,?,600,?,G,?,Y,?,?,?,?,?,SHEET,0.9,610.0,1220.0,0,ideal
203,?,R,0,0,?,S,2.0,0,?,E,?,Y,?,?,?,?,?,SHEET,3.2,1300.0,762.0,0,ruim
204,?,M,0,0,?,?,?,350,?,G,?,?,?,?,?,?,?,COIL,1.399,609.9,0.0,0,ideal
205,?,R,0,0,?,S,3.0,0,?,?,?,?,?,?,?,?,?,SHEET,1.599,610.0,761.0,0,ruim
206,?,A,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,COIL,0.699,610.0,0.0,0,ruim
207,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,COIL,0.7,1220.0,0.0,0,ruim
208,?,A,0,45,?,S,?,0,?,D,?,?,?,?,?,?,?,SHEET,0.599,610.0,761.0,0,ruim
209,?,A,0,0,?,S,2.0,0,?,F,Y,?,?,?,?,?,?,SHEET,0.699,610.0,400.0,0,ruim
210,?,A,0,45,?,S,?,0,?,D,?,?,?,?,?,?,?,SHEET,1.6,1320.0,612.0,0,ruim
211,TN,?,0,0,?,A,1.0,0,?,?,?,?,?,?,?,?,?,SHEET,0.5,609.9,612.0,0,ruim
212,?,A,0,45,?,S,?,0,?,D,?,?,B,?,?,?,?,COIL,0.301,1320.0,0.0,0,ruim
213,?,K,65,0,?,?,?,0,?,?,?,?,M,?,?,?,?,COIL,3.2,640.0,0.0,500,mediano
214,?,A,0,0,?,S,3.0,0,N,F,?,?,B,Y,Y,?,?,SHEET,0.6,610.0,762.0,0,ruim
215,TN,A,0,0,?,?,3.0,0,N,?,?,?,?,?,?,Y,?,COIL,0.6,249.9,0.0,0,ideal
216,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,COIL,0.7,610.0,0.0,0,mediano
217,?,R,0,0,?,S,2.0,0,?,E,Y,?,?,Y,?,?,?,SHEET,3.2,1300.0,762.0,0,mediano
218,?,A,0,0,?,S,2.0,0,?,E,?,?,?,Y,?,?,?,SHEET,1.599,1320.0,762.0,0,ruim
219,?,A,0,60,T,?,?,0,N,G,?,?,?,?,?,?,?,COIL,1.9,1135.0,0.0,600,mediano
220,?,V,0,0,?,S,2.0,0,?,?,?,?,?,?,?,?,?,COIL,0.699,609.9,0.0,0,ruim
221,?,A,0,0,?,S,2.0,0,?,E,?,?,?,?,Y,?,?,COIL,0.699,610.0,0.0,0,ruim
222,?,R,0,0,?,S,3.0,0,?,?,?,?,?,Y,?,?,?,SHEET,0.8,1320.0,762.0,0,ruim
223,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,COIL,0.901,966.0,0.0,0,ruim
224,ZS,A,0,0,?,S,5.0,0,N,E,?,?,?,?,?,?,?,COIL,0.8,75.0,0.0,0,ruim
225,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,Y,?,?,SHEET,0.7,1320.0,762.0,0,ruim
226,ZS,A,0,50,T,?,?,0,?,E,Y,?,?,?,?,?,?,SHEET,0.601,1250.0,762.0,0,ideal
227,?,A,0,60,T,?,?,0,?,G,?,?,?,?,?,?,?,COIL,0.799,609.0,0.0,0,ideal
228,?,R,6,0,T,?,?,0,?,?,Y,?,?,?,?,?,?,SHEET,1.0,610.0,4880.0,0,ruim
229,ZS,A,0,50,T,?,?,0,?,E,Y,?,?,?,Y,?,?,COIL,0.6,20.0,0.0,0,ideal
230,?,K,45,0,?,?,?,0,?,?,?,?,?,?,?,?,?,COIL,0.6,900.0,0.0,0,mediano
231,?,R,6,0,T,?,?,0,?,?,?,?,?,?,?,?,?,SHEET,1.0,610.0,762.0,0,ideal
232,TN,?,0,0,?,A,1.0,0,?,?,?,?,?,?,?,Y,?,COIL,0.5,250.0,0.0,0,ruim
233,TN,A,0,0,?,?,3.0,0,N,?,?,?,?,?,?,?,?,COIL,0.6,50.0,0.0,0,mediano
234,?,W,0,0,?,?,?,310,?,G,Y,?,?,?,?,?,?,SHEET,2.5,1274.9,762.0,0,ideal
235,?,A,0,60,T,?,?,0,?,G,?,?,B,Y,Y,?,?,SHEET,0.801,255.1,270.0,0,ideal
236,?,R,0,0,?,S,2.0,0,?,?,?,?,B,?,?,?,?,SHEET,0.8,610.0,4880.0,0,mediano
237,?,A,0,0,?,S,3.0,0,N,E,?,?,?,?,?,?,?,COIL,0.6,20.0,0.0,0,ruim
238,?,A,0,0,?,S,2.0,0,?,G,?,?,?,?,?,?,?,COIL,0.7,1320.0,0.0,0,mediano
239,TN,?,0,0,?,A,1.0,0,?,?,?,?,?,?,?,?,?,COIL,1.6,610.0,0.0,0,ruim
240,?,A,0,0,?,S,2.0,0,?,F,?,?,?,?,?,?,?,SHEET,0.7,1220.0,4880.0,0,ruim
241,?,A,0,85,T,?,?,0,?,G,?,?,?,?,?,?,?,SHEET,0.3,1220.0,762.0,0,ideal
242,?,A,0,0,?,S,2.0,0,?,G,?,?,?,?,?,?,?,COIL,3.2,610.0,0.0,0,ruim
243,?,A,0,0,?,S,3.0,0,N,E,?,?,?,?,?,?,?,SHEET,0.601,610.0,762.0,0,ruim
244,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,Y,?,?,COIL,0.321,610.0,0.0,0,ruim
245,?,R,0,0,?,S,2.0,0,?,E,Y,?,?,?,?,?,?,COIL,0.699,610.0,0.0,0,mediano
246,?,R,0,0,?,S,2.0,0,?,E,Y,?,?,?,?,?,?,SHEET,3.2,150.0,4880.0,0,ruim
247,?,A,0,0,?,S,2.0,0,?,F,?,?,?,?,?,?,?,SHEET,0.7,1220.0,762.0,0,ruim
248,TN,?,0,0,?,A,1.0,0,?,?,?,?,?,?,?,?,?,COIL,0.6,250.0,0.0,0,ruim
249,?,A,0,85,T,?,?,0,?,G,?,?,?,?,?,?,?,COIL,3.2,1220.0,0.0,0,ideal
250,?,S,0,0,?,?,?,400,?,?,?,?,?,?,?,?,?,COIL,0.8,609.9,0.0,0,mediano
251,?,A,0,0,?,S,3.0,0,N,F,?,?,B,Y,Y,?,?,SHEET,1.2,610.0,4170.0,0,ruim
252,?,A,0,0,?,S,2.0,0,?,F,Y,?,B,Y,?,?,?,SHEET,0.699,1320.0,761.0,0,ruim
253,?,R,0,0,?,S,3.0,0,?,?,?,?,B,Y,?,?,?,SHEET,0.8,1320.0,4880.0,0,ruim
254,?,R,0,0,?,S,2.0,0,?,E,Y,?,?,?,?,?,?,SHEET,3.2,150.0,762.0,0,ruim
255,?,M,0,0,?,?,?,600,?,G,?,?,?,?,?,?,?,SHEET,1.299,1050.0,1220.0,0,ideal
256,?,A,0,0,?,S,2.0,0,?,G,Y,?,B,Y,?,?,?,SHEET,0.7,610.0,762.0,0,ruim
257,?,R,6,0,T,?,?,0,?,?,Y,?,?,?,?,?,?,COIL,1.2,1220.0,0.0,0,ideal
258,?,S,0,0,?,?,?,400,?,?,?,?,?,?,?,?,?,COIL,1.0,75.0,0.0,0,ideal
259,?,R,6,0,T,?,?,0,?,?,Y,?,?,?,?,?,?,SHEET,1.0,1320.0,762.0,0,ideal
260,?,A,0,70,T,?,?,0,?,G,?,?,?,?,?,?,?,COIL,2.5,610.0,0.0,600,mediano
261,?,R,0,0,?,S,2.0,0,?,?,?,?,?,?,?,?,?,SHEET,0.8,610.0,4880.0,0,ruim
262,?,R,0,0,?,S,3.0,0,?,E,?,?,?,?,?,?,?,SHEET,0.6,520.0,762.0,0,ruim
263,?,?,0,70,T,?,?,0,?,G,?,?,?,?,?,?,?,COIL,0.8,50.0,0.0,0,mediano
264,?,?,0,0,?,?,?,500,?,?,?,?,?,?,?,?,?,SHEET,2.0,610.0,762.0,0,ideal
265,TN,?,0,0,?,A,1.0,0,?,?,?,?,?,?,?,Y,?,SHEET,0.5,609.9,3000.0,0,ruim
266,?,?,0,0,?,S,1.0,0,?,G,?,?,?,?,?,?,?,COIL,0.7,610.0,0.0,0,ruim
267,?,R,0,0,?,S,2.0,0,?,E,Y,?,?,?,?,?,?,COIL,1.601,1320.0,0.0,0,ruim
268,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,Y,?,?,SHEET,0.301,610.0,762.0,0,ruim
269,?,R,0,0,?,S,2.0,0,?,?,?,?,?,?,?,?,?,SHEET,1.2,609.9,612.0,0,ruim
270,?,R,0,0,?,S,2.0,0,?,?,?,?,?,Y,?,?,?,SHEET,0.8,1500.0,4170.0,0,ruim
271,?,A,0,45,?,S,?,0,?,D,?,?,B,?,?,?,?,SHEET,0.7,1300.0,762.0,0,mediano
272,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,COIL,1.201,50.0,0.0,0,ruim
273,?,A,0,0,?,S,3.0,0,N,F,?,?,?,?,?,?,?,SHEET,0.75,610.0,4880.0,0,mediano
274,?,R,0,0,?,?,?,500,?,?,?,?,?,?,?,?,?,COIL,1.6,609.9,0.0,0,ideal
275,?,K,65,0,?,?,?,0,?,?,?,?,?,?,?,?,?,COIL,1.09,900.0,0.0,0,mediano
276,?,R,0,0,?,S,2.0,0,?,E,?,?,B,?,?,?,?,COIL,0.699,1320.0,0.0,0,mediano
277,?,R,0,0,?,S,2.0,0,?,E,Y,?,?,?,?,?,?,SHEET,0.7,150.0,762.0,0,ruim
278,?,K,55,0,?,?,?,0,?,?,?,Y,M,?,?,?,?,COIL,2.2,900.0,0.0,0,mediano
279,?,V,0,0,?,S,2.0,0,?,?,?,?,?,?,?,?,?,SHEET,0.7,610.0,4880.0,0,ruim
280,?,A,4,0,T,?,?,0,?,G,?,?,?,?,?,?,?,COIL,1.0,25.0,0.0,0,ideal
281,?,R,0,0,?,S,2.0,0,?,E,?,?,B,?,?,?,?,COIL,0.699,610.0,0.0,0,ruim
282,?,A,0,0,?,S,2.0,0,?,E,?,?,?,?,Y,?,?,COIL,0.7,610.0,0.0,0,mediano
283,?,V,0,0,?,S,2.0,0,?,?,?,?,?,?,?,?,?,SHEET,0.7,1320.0,762.0,0,ruim
284,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,SHEET,3.2,1320.0,4880.0,0,mediano
285,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,SHEET,0.699,1320.0,762.0,0,ruim
286,?,A,0,50,T,?,?,0,?,G,?,?,?,?,?,?,?,COIL,0.601,610.0,0.0,0,ideal
287,TN,A,0,0,?,?,3.0,0,N,?,?,?,?,?,?,?,?,SHEET,0.6,610.0,761.0,0,ideal
288,?,R,0,0,?,S,2.0,0,?,E,Y,?,?,?,?,?,?,COIL,3.2,610.0,0.0,0,ruim
289,?,K,65,0,?,?,?,0,?,?,?,Y,M,?,?,?,?,COIL,2.3,900.0,0.0,600,mediano
290,?,A,0,0,?,S,2.0,0,?,F,Y,?,?,?,?,?,?,SHEET,0.6,300.1,4880.0,0,ruim
291,?,A,0,0,?,S,2.0,0,?,F,Y,?,B,Y,?,?,?,SHEET,0.699,300.1,4880.0,0,ruim
292,?,R,0,0,?,S,2.0,0,?,E,?,?,M,?,?,?,?,COIL,4.0,610.0,0.0,600,mediano
293,ZS,A,0,85,T,?,?,0,?,E,?,Y,?,?,?,?,?,SHEET,0.4,1220.0,762.0,0,ideal
294,?,M,0,0,?,?,?,350,?,G,?,?,?,?,?,?,?,COIL,1.601,609.9,0.0,0,mediano
295,?,A,0,45,?,S,?,0,?,D,?,?,B,Y,?,?,?,SHEET,0.4,1220.0,300.0,0,ruim
296,ZS,R,0,0,?,S,3.0,0,?,E,?,?,?,?,?,?,?,COIL,1.6,1220.0,0.0,0,ruim
297,?,R,0,0,?,S,2.0,0,?,E,?,?,B,Y,?,?,?,SHEET,0.7,1300.0,762.0,0,ruim
298,TN,A,0,0,?,?,3.0,0,N,?,?,?,?,?,?,?,?,SHEET,1.6,1220.0,761.0,0,ideal
299,?,A,0,0,?,S,2.0,0,?,G,Y,?,B,?,?,?,?,COIL,0.4,610.0,0.0,0,ruim
300,?,A,0,45,?,S,?,0,?,D,?,?,B,?,?,?,?,SHEET,0.3,610.0,762.0,0,ruim
301,?,A,0,0,?,S,2.0,0,?,G,?,?,B,?,?,?,?,SHEET,0.7,610.0,4880.0,0,ruim
302,?,S,0,0,?,?,?,400,?,?,?,?,?,?,?,?,?,COIL,0.8,75.0,0.0,0,ideal
303,?,A,0,0,?,S,3.0,0,N,E,?,Y,?,?,?,?,?,COIL,2.5,1320.0,0.0,0,ruim
304,ZS,A,0,50,T,?,?,0,?,E,Y,?,?,?,?,?,?,SHEET,1.6,1250.0,4880.0,0,ideal
305,?,A,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,COIL,0.7,610.0,0.0,0,ruim
306,?,A,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,SHEET,0.7,1320.1,762.0,0,ruim
307,?,R,0,0,?,S,2.0,0,?,E,?,?,M,?,?,?,?,COIL,3.201,385.1,0.0,0,ruim
308,?,R,0,0,?,S,2.0,0,?,E,Y,?,?,?,?,?,?,SHEET,1.6,500.0,4880.0,0,ruim
309,?,?,0,0,?,A,2.0,0,?,G,?,?,?,?,?,?,?,SHEET,0.7,1320.0,4880.0,0,ruim
310,?,A,0,0,?,S,2.0,0,?,G,?,?,?,?,?,?,?,COIL,4.0,500.0,0.0,0,ruim
311,?,A,0,0,?,S,2.0,0,?,G,?,?,?,?,Y,?,?,COIL,0.4,609.9,0.0,0,ruim
312,?,R,0,0,?,S,3.0,0,?,?,?,?,?,?,?,?,?,SHEET,1.6,610.0,4170.0,0,ruim
313,?,A,0,45,?,S,?,0,?,D,?,?,B,Y,?,?,?,SHEET,1.6,1300.0,4880.0,0,ruim
314,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,COIL,3.2,50.0,0.0,0,ruim
315,?,A,0,80,T,?,?,0,?,G,?,?,?,?,Y,?,?,COIL,0.5,29.0,0.0,0,ideal
316,?,?,0,0,?,S,1.0,0,?,G,?,?,B,Y,?,?,?,SHEET,0.3,595.0,762.0,0,ruim
317,ZS,A,0,85,T,?,?,0,?,E,?,Y,?,?,Y,?,?,SHEET,1.2,1200.0,611.0,0,mediano
318,?,A,0,60,T,?,?,0,?,G,?,?,M,?,?,?,?,COIL,2.801,355.0,0.0,0,ideal
319,?,A,0,85,T,?,?,0,?,G,?,?,M,?,?,?,?,COIL,4.0,610.0,0.0,500,mediano
320,?,A,0,0,?,S,2.0,0,?,F,Y,?,?,?,?,?,?,SHEET,0.699,609.9,0.0,0,ruim
321,?,K,65,0,?,?,?,0,?,?,?,?,M,?,?,?,?,COIL,1.5,900.0,0.0,0,mediano
322,?,R,0,0,?,S,2.0,0,?,E,?,Y,M,?,?,?,?,COIL,4.0,1000.0,0.0,600,mediano
323,ZS,R,0,0,?,?,?,300,?,?,?,?,?,?,?,?,?,COIL,0.8,915.0,0.0,0,ideal
324,?,A,0,0,?,S,2.0,0,?,E,?,Y,?,?,?,?,?,COIL,0.7,610.0,0.0,0,ruim
325,?,A,0,85,T,?,?,0,?,G,?,?,M,?,?,?,?,COIL,3.201,610.0,0.0,600,mediano
326,?,A,0,0,?,S,3.0,0,N,F,?,?,?,?,?,?,?,SHEET,1.0,1320.0,762.0,0,ruim
327,?,R,0,0,?,S,2.0,0,?,E,?,?,B,?,?,?,?,COIL,0.4,1320.0,0.0,0,ruim
328,TN,A,0,0,?,?,3.0,0,N,?,?,?,?,?,?,Y,?,SHEET,1.6,610.0,762.0,0,ideal
329,ZS,A,0,85,T,?,?,0,?,E,?,Y,?,?,?,?,?,SHEET,0.4,1220.0,0.0,0,ideal
330,?,K,65,0,?,?,?,0,?,?,?,Y,M,?,?,?,?,COIL,3.2,900.0,0.0,500,mediano
331,TN,?,0,0,?,A,1.0,0,?,?,?,?,?,?,?,Y,?,SHEET,0.5,609.9,612.0,0,ruim
332,?,R,0,0,?,S,2.0,0,?,?,?,?,?,Y,?,?,?,SHEET,0.8,1320.0,4880.0,0,ruim
333,?,A,0,0,?,S,3.0,0,N,G,?,?,?,?,?,?,?,COIL,2.5,1320.0,0.0,0,ruim
334,?,A,0,0,?,S,3.0,0,N,E,?,?,?,?,Y,?,?,COIL,0.8,900.1,0.0,0,ruim
335,?,R,0,0,?,S,2.0,0,?,E,?,?,M,?,?,?,?,COIL,4.0,385.1,0.0,0,ruim
336,?,?,0,0,?,S,1.0,0,?,G,?,?,B,Y,?,?,?,SHEET,0.699,1300.0,762.0,0,mediano
337,?,A,0,0,?,S,2.0,0,?,F,Y,?,B,Y,?,?,?,SHEET,0.6,610.0,4880.0,0,mediano
338,?,A,0,0,?,S,3.0,0,N,E,?,?,B,Y,Y,?,?,SHEET,0.7,375.0,612.0,0,ruim
339,?,?,0,0,?,S,1.0,0,?,G,?,?,?,?,Y,?,?,SHEET,0.4,610.0,762.0,0,ruim
340,?,A,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,COIL,0.3,1320.0,0.0,0,ruim
341,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,COIL,3.2,610.0,0.0,0,ruim
342,?,A,0,85,T,?,?,0,?,G,?,?,?,?,?,?,?,COIL,1.201,1220.0,0.0,0,ideal
343,?,A,0,45,?,S,?,0,?,D,?,?,?,?,?,?,?,SHEET,0.7,1320.0,762.0,0,mediano
344,?,R,0,0,?,S,2.0,0,?,?,Y,?,?,?,?,?,?,COIL,0.8,610.0,0.0,0,ruim
345,?,A,0,45,?,S,?,0,?,D,?,?,?,?,?,?,?,COIL,0.699,610.0,0.0,0,ruim
346,?,K,65,0,?,?,?,0,?,?,?,?,?,?,?,?,?,COIL,1.09,610.0,0.0,0,mediano
347,?,A,0,45,?,S,?,0,?,D,?,?,B,?,?,?,?,SHEET,0.3,610.0,4880.0,0,ruim
348,?,A,0,0,?,S,3.0,0,N,E,?,?,B,Y,Y,?,?,SHEET,1.2,609.9,612.0,0,ruim
349,?,K,65,0,?,?,?,0,?,?,?,?,?,?,?,?,?,COIL,0.6,900.0,0.0,0,mediano
350,?,R,0,0,?,S,2.0,0,?,?,?,?,?,?,?,?,?,SHEET,2.0,1500.0,612.0,0,ruim
351,?,V,0,0,?,S,2.0,0,?,?,?,?,?,?,?,?,?,COIL,0.8,20.0,0.0,0,mediano
352,?,K,45,0,?,?,?,0,?,?,?,?,?,?,?,?,?,COIL,0.6,900.0,0.0,0,mediano
353,?,A,0,0,?,S,2.0,0,?,F,Y,?,B,Y,?,?,?,SHEET,0.999,1220.0,4880.0,0,ruim
354,?,R,0,0,?,S,2.0,0,?,E,?,?,?,Y,?,?,?,SHEET,1.599,1320.0,4880.0,0,ruim
355,?,R,0,0,?,S,2.0,0,?,?,?,?,?,Y,?,?,?,SHEET,2.0,610.0,612.0,0,mediano
356,?,R,6,0,T,?,?,0,?,?,?,?,?,?,?,?,?,SHEET,0.6,610.0,762.0,0,ideal
357,?,A,0,0,?,S,2.0,0,?,F,Y,?,?,Y,?,?,?,SHEET,0.6,609.9,762.0,0,ruim
358,?,M,0,0,?,?,?,350,?,G,?,Y,?,?,?,?,?,COIL,0.9,610.0,0.0,0,mediano
359,?,R,0,0,?,S,2.0,0,?,?,?,Y,?,?,?,?,?,SHEET,1.599,610.0,4880.0,0,ruim
360,ZS,A,0,50,T,?,?,0,?,E,?,?,?,?,?,?,?,COIL,0.4,1320.0,0.0,0,ideal
361,?,R,0,0,?,S,2.0,0,?,?,?,?,?,?,?,?,?,SHEET,1.2,335.0,612.0,0,ruim
362,?,S,0,0,?,?,?,700,?,?,?,?,?,?,?,?,?,COIL,1.0,609.9,0.0,0,ideal
363,?,M,0,0,?,?,?,600,?,G,?,?,?,?,?,?,?,SHEET,0.9,1050.0,1220.0,0,ideal
364,?,A,0,0,?,S,3.0,0,N,E,?,?,?,?,?,?,?,COIL,1.201,75.0,0.0,0,mediano
365,?,M,0,0,?,?,?,600,?,G,?,?,?,?,?,?,?,COIL,1.3,1090.0,0.0,0,mediano
366,?,A,0,0,?,S,2.0,0,?,E,?,?,?,?,Y,?,?,COIL,0.7,20.0,0.0,0,ruim
367,?,?,0,0,?,?,?,500,?,?,?,?,?,?,?,?,B,SHEET,2.0,609.9,301.0,0,ideal
368,?,A,0,85,T,?,?,0,?,G,?,?,?,?,?,?,?,COIL,1.201,610.0,0.0,0,ideal
369,TN,?,0,0,?,A,1.0,0,?,?,?,?,?,?,?,Y,?,COIL,0.799,249.9,0.0,0,ruim
370,?,A,0,0,?,S,2.0,0,?,E,?,?,?,Y,?,?,?,SHEET,0.3,610.0,762.0,0,ruim
371,?,A,0,45,?,S,?,0,?,D,?,?,?,?,?,?,?,SHEET,0.599,1320.0,761.0,0,ruim
372,?,W,0,0,?,?,?,310,?,G,Y,?,?,?,?,?,?,SHEET,1.6,610.0,762.0,0,ideal
373,?,A,0,0,?,S,2.0,0,?,E,?,Y,?,?,?,?,?,COIL,0.699,1320.0,0.0,0,ruim
374,?,K,55,0,?,?,?,0,?,?,?,?,?,?,?,?,?,COIL,1.09,610.0,0.0,0,mediano
375,?,K,65,0,?,?,?,0,?,?,?,?,?,?,?,?,?,COIL,0.8,900.0,0.0,0,mediano
376,?,A,0,0,?,?,?,500,?,G,?,?,?,?,?,?,?,COIL,1.6,1320.0,0.0,0,mediano
377,?,V,0,0,?,S,2.0,0,?,?,?,?,?,?,?,?,?,SHEET,1.599,1320.0,762.0,0,ruim
378,?,A,0,0,?,S,2.0,0,?,E,Y,?,?,?,?,?,?,SHEET,3.2,1320.0,4880.0,0,ruim
379,?,?,0,0,?,A,2.0,0,?,G,?,?,?,?,Y,?,?,COIL,0.301,20.0,0.0,0,ruim
380,ZS,A,0,0,?,S,3.0,0,N,E,?,?,?,?,?,?,?,SHEET,0.7,335.0,612.0,0,mediano
381,?,A,0,45,?,S,?,0,?,D,?,?,B,Y,?,?,?,SHEET,0.699,1220.0,761.0,0,ruim
382,?,K,55,0,?,?,?,0,?,?,?,?,?,?,?,?,?,COIL,1.09,900.0,0.0,0,mediano
383,ZS,A,0,85,T,?,?,0,?,E,?,Y,?,?,Y,?,?,SHEET,1.2,600.0,150.0,0,ideal
384,?,A,0,0,?,S,2.0,0,?,G,?,?,?,?,?,?,?,SHEET,0.699,610.0,762.0,0,ruim
385,?,R,0,0,?,S,3.0,0,?,?,?,?,?,?,?,?,?,SHEET,1.6,831.9,881.0,0,ruim
386,ZS,R,0,0,?,A,2.0,0,?,G,?,?,?,?,?,?,?,COIL,0.699,20.0,0.0,0,ruim
387,?,A,0,0,?,S,2.0,0,?,E,?,?,?,?,Y,?,?,COIL,0.321,610.0,0.0,0,ruim
388,?,W,0,0,?,?,?,310,?,G,?,?,?,?,?,?,?,SHEET,0.8,1275.0,4880.0,0,ideal
389,?,A,0,0,?,S,2.0,0,?,F,Y,?,?,Y,?,?,?,SHEET,0.699,1220.0,4880.0,0,ruim
390,?,R,0,0,?,S,2.0,0,?,E,?,?,B,Y,?,?,?,SHEET,0.699,595.0,762.0,0,ruim
391,ZS,A,0,0,?,S,5.0,0,N,E,?,?,?,?,?,?,?,COIL,1.201,50.0,0.0,0,ruim
392,?,R,0,0,?,S,2.0,0,?,?,?,?,?,?,?,?,?,SHEET,1.2,335.0,3000.0,0,ruim
393,?,M,0,0,?,?,?,350,?,G,?,Y,M,?,?,?,?,COIL,1.4,1310.0,0.0,0,ideal
394,?,R,0,0,?,S,2.0,0,?,?,?,Y,?,?,?,?,?,SHEET,0.8,610.0,762.0,0,ruim
395,?,R,0,0,?,S,2.0,0,?,E,?,Y,M,?,?,?,?,COIL,4.0,610.0,0.0,600,mediano
396,TN,A,0,0,?,?,3.0,0,N,?,?,?,?,?,?,?,?,SHEET,0.5,610.0,762.0,0,ideal
397,?,A,0,60,T,?,?,0,?,G,?,?,?,?,?,?,?,COIL,2.8,610.0,0.0,600,mediano
398,?,A,0,0,?,S,2.0,0,?,G,?,?,B,?,?,?,?,COIL,0.799,1300.0,0.0,0,ruim
399,?,R,0,0,?,S,2.0,0,?,?,?,?,?,?,?,?,?,SHEET,1.6,1500.0,612.0,0,ruim
400,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,Y,?,?,SHEET,1.2,609.9,4170.0,0,ruim
401,?,A,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,COIL,3.201,152.0,0.0,0,ruim
402,?,A,0,0,?,S,2.0,0,?,G,?,?,?,?,?,?,?,SHEET,0.4,1320.0,4880.0,0,ruim
